ID	Name	Category
LI.M0	targets of FOSL1/2	TF targets
LI.M1.0	integrin cell surface interactions (I)	molecular function
LI.M1.1	integrin cell surface interactions (II)	molecular function
LI.M2.0	extracellular matrix (I)	location
LI.M2.1	extracellular matrix (II)	location
LI.M2.2	extracellular matrix (III)	location
LI.M3	regulation of signal transduction	signaling
LI.M4.0	cell cycle and transcription	biological process
LI.M4.1	cell cycle (I)	biological process
LI.M4.2	PLK1 signaling events	signaling
LI.M4.3	myeloid cell enriched receptors and transporters	immune
LI.M4.4	mitotic cell cycle - DNA replication	biological process
LI.M4.5	mitotic cell cycle in stimulated CD4 T cells	biological process
LI.M4.6	cell division in stimulated CD4 T cells	biological process
LI.M4.7	mitotic cell cycle	biological process
LI.M4.8	cell division - E2F transcription network	biological process
LI.M4.9	mitotic cell cycle in stimulated CD4 T cells	biological process
LI.M4.10	cell cycle (II)	biological process
LI.M4.11	mitotic cell cycle in stimulated CD4 T cells	biological process
LI.M4.12	C-MYC transcriptional network	TF targets
LI.M4.13	cell junction (GO)	location
LI.M4.14	Rho GTPase cycle	signaling
LI.M4.15	enriched in monocytes (I)	immune
LI.M5.0	regulation of antigen presentation and immune response	immune
LI.M5.1	T cell activation and signaling	immune
LI.M6	mitotic cell division	biological process
LI.M7.0	enriched in T cells (I)	immune
LI.M7.1	T cell activation (I)	immune
LI.M7.2	enriched in NK cells (I)	immune
LI.M7.3	T cell activation (II)	immune
LI.M7.4	T cell activation (III)	immune
LI.M8	E2F transcription factor network	TF targets
LI.M9	B cell development	immune
LI.M10.0	E2F1 targets (Q3)	TF targets
LI.M10.1	E2F1 targets (Q4)	TF targets
LI.M11.0	enriched in monocytes (II)	immune
LI.M11.1	blood coagulation	biological process
LI.M11.2	formyl peptide receptor mediated neutrophil response	signaling
LI.M12	CD28 costimulation	immune
LI.M13	innate activation by cytosolic DNA sensing	immune
LI.M14	T cell differentiation	immune
LI.M15	Ran mediated mitosis	signaling
LI.M16	TLR and inflammatory signaling	immune
LI.M17.0	Hox cluster I	molecular function
LI.M17.1	Hox cluster II	molecular function
LI.M17.2	Hox cluster III	molecular function
LI.M17.3	Hox cluster IV	molecular function
LI.M18	T cell differentiation via ITK and PKC	immune
LI.M19	T cell differentiation (Th2)	immune
LI.M20	AP-1 transcription factor network	TF targets
LI.M21	cell adhesion (lymphocyte homing)	molecular function
LI.M22.0	mismatch repair (I)	biological process
LI.M22.1	mismatch repair (II)	biological process
LI.M23	RA, WNT, CSF receptors network (monocyte)	immune
LI.M24	cell activation (IL15, IL23, TNF)	immune
LI.M25	TLR8-BAFF network	immune
LI.M26.0	TBA	
LI.M26.1	TBA	
LI.M26.2	TBA	
LI.M27.0	chemokine cluster (I)	immune
LI.M27.1	chemokine cluster (II)	immune
LI.M28	antigen presentation (lipids and proteins)	immune
LI.M29	proinflammatory cytokines and chemokines	immune
LI.M30	cell movement, Adhesion & Platelet activation	biological process
LI.M31	cell cycle and growth arrest	biological process
LI.M32.0	platelet activation (I)	biological process
LI.M32.1	platelet activation (II)	biological process
LI.M32.2	CORO1A-DEF6 network (I)	immune
LI.M32.3	KLF12 targets network	TF targets
LI.M32.4	CORO1A-DEF6 network (II)	immune
LI.M32.5	TBA	
LI.M32.6	TBA	
LI.M32.7	TBA	
LI.M32.8	cytoskeletal remodeling	biological process
LI.M33	inflammatory response	immune
LI.M34	cytoskeletal remodeling (enriched for SRF targets)	biological process
LI.M35.0	signaling in T cells (I)	immune
